date, time, trip_estimate, base_fare, minimum_fare, plus_per_minute, plus_per_kilometer, wait_charge
2023-01-02,15:24:44.280563,EGP 34.34,EGP 9.00,EGP 15.00,EGP 0.55,EGP 3.00,EGP 0.55
2023-01-07,22:50:46.668749,EGP 32.50,EGP 9.00,EGP 15.00,EGP 0.55,EGP 3.00,EGP 0.55
