date, time, trip_estimate, base_fare, minimum_fare, plus_per_minute, plus_per_kilometer, wait_charge
2023-01-02,15:24:51.696385,EGP 37.86,EGP 7.60,EGP 12.00,EGP 0.41,EGP 2.80,EGP 0.41
2023-01-07,22:51:00.713777,EGP 35.60,EGP 7.60,EGP 12.00,EGP 0.41,EGP 2.80,EGP 0.41
