date, time, trip_estimate, base_fare, minimum_fare, plus_per_minute, plus_per_kilometer, wait_charge
2023-01-02,15:24:48.006299,EGP 23.00-30.00,EGP 5.50,EGP 7.00,EGP 0.30,EGP 1.80,EGP 0.25
2023-01-07,22:50:56.027002,EGP 22.00-28.00,EGP 5.50,EGP 7.00,EGP 0.30,EGP 1.80,EGP 0.25
